0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
2    [main] INFO  ru.nsu.gordin.Main  - factory init
0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
1    [main] INFO  ru.nsu.gordin.Main  - creating factory
3    [main] INFO  ru.nsu.gordin.Main  - factory init
4    [main] DEBUG ru.nsu.gordin.AbstractFactory  - void AbstractFactory.init(String filename = ru/nsu/gordin/initFile)
4    [main] INFO  ru.nsu.gordin.Main  - creating controller
6    [main] INFO  ru.nsu.gordin.Main  - creating viewer
8    [main] INFO  ru.nsu.gordin.Main  - controller run...
16492 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16492 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16492 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16492 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16493 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16493 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16493 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16493 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16493 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16493 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16493 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16494 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16494 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16494 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16494 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16495 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16495 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16495 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16495 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16495 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16495 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16495 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16496 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16496 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16496 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16496 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16497 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16497 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16497 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16497 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
16497 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16497 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16498 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16498 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16498 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
16498 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19776 [main] DEBUG ru.nsu.gordin.AbstractFactory  - Command AbstractFactory.create(String key = MOVE)
19782 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
19782 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
19782 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
19783 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
19783 [main] DEBUG ru.nsu.gordin.Model  - void Model.step(String direction  = R)
19783 [main] DEBUG ru.nsu.gordin.Viewer  - void Viewer.print(Model = ru.nsu.gordin.Model@33ff9a48)
19783 [main] DEBUG ru.nsu.gordin.Model  - char[][] Model.getField()
19783 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19783 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19784 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19784 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19784 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19784 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19784 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19784 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19785 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19785 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19785 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19785 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19786 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19786 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
19786 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19787 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19787 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19787 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19787 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
19787 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
